CPT Code,State,5th %ile,10th %ile,25th %ile,50th %ile,75th %ile,90th %ile,95th %ile
97153,IN,$11.13,$11.50,$11.67,$13.06,$13.86,$16.76,$17.51
97153,KS,$11.25,$11.25,$12.94,$13.06,$13.72,$16.17,$16.61
97153,KY,$11.26,$11.26,$11.26,$12.09,$12.09,$15.54,$17.92
97153,LA,$11.95,$12.13,$12.13,$12.69,$13.39,$15.78,$16.94
97153,MA,$12.50,$12.98,$14.09,$14.62,$17.09,$19.40,$20.29
97153,MD,$12.50,$12.50,$12.50,$13.06,$15.72,$18.44,$21.18
97153,ME,$11.26,$11.26,$11.26,$12.09,$12.09,$14.09,$14.09
97153,MI,$12.17,$12.50,$12.84,$13.06,$15.20,$17.60,$20.48
97153,MN,$13.26,$13.51,$14.41,$14.86,$15.60,$15.69,$15.69
97153,MO,$11.55,$12.00,$12.94,$13.06,$14.26,$16.85,$17.45
97153,MS,$11.32,$11.32,$11.32,$11.88,$11.88,$12.44,$13.11
97153,MT,$11.26,$11.26,$11.26,$14.70,$15.64,$15.64,$15.64
97153,NC,$12.69,$12.69,$13.12,$13.54,$16.28,$18.81,$20.61
97153,ND,$12.51,$12.51,$14.18,$15.66,$17.08,$18.80,$18.80
97153,NE,$11.26,$11.26,$12.09,$13.54,$15.28,$30.66,$30.66
97153,NH,$12.34,$12.48,$13.24,$14.09,$15.30,$16.78,$18.54
97153,NJ,$11.95,$11.95,$12.50,$13.06,$14.69,$17.18,$18.45
97153,NM,$12.49,$12.49,$12.92,$13.23,$14.53,$15.27,$17.41
97153,NV,$12.67,$12.74,$13.18,$13.30,$13.95,$14.80,$16.55
97153,NY,$13.35,$14.09,$15.36,$17.61,$20.39,$20.39,$21.23
97153,OH,$11.48,$11.76,$13.30,$14.55,$14.85,$16.78,$18.12
97153,OK,$12.34,$12.34,$12.34,$13.04,$13.57,$14.27,$14.94
97153,OR,$11.40,$11.40,$12.37,$12.49,$12.98,$16.03,$16.29
97153,PA,$12.36,$12.36,$13.59,$14.16,$14.96,$17.30,$17.99
97153,RI,$11.34,$11.82,$12.58,$13.36,$15.06,$16.53,$16.53
97153,SC,$11.07,$11.07,$12.50,$13.06,$13.54,$15.94,$16.61
97153,SD,$13.51,$13.51,$14.56,$16.80,$21.08,$21.08,$23.88
97153,TN,$11.39,$11.39,$11.39,$13.86,$14.69,$17.03,$18.12
97153,TX,$12.17,$12.49,$12.92,$13.90,$17.31,$21.31,$23.35
97153,UT,$11.50,$11.67,$11.80,$13.06,$13.70,$15.82,$16.30
97153,VA,$12.50,$12.50,$12.50,$13.06,$13.24,$16.26,$18.03
97153,VT,$12.70,$12.70,$12.90,$13.50,$13.50,$16.63,$18.13
97153,WA,$12.17,$12.17,$12.68,$12.80,$13.55,$16.61,$17.79
97153,WI,$11.26,$11.26,$11.91,$12.09,$14.83,$16.26,$16.26
97153,WV,$11.41,$11.41,$11.41,$11.41,$11.41,$11.41,$11.41
97154,AK,$11.63,$11.63,$11.63,$12.25,$13.00,$14.75,$14.75
97154,AL,$10.26,$10.26,$10.67,$10.89,$13.22,$14.98,$15.55
97154,AR,$10.00,$10.00,$10.00,$10.42,$12.79,$14.83,$14.83
97154,AZ,$7.65,$7.65,$7.98,$8.07,$13.37,$15.34,$15.97
97154,CA,$11.09,$11.60,$12.82,$13.13,$15.55,$17.55,$18.07
97154,CO,$7.76,$7.76,$7.76,$11.77,$12.68,$15.22,$16.47
97154,CT,$11.09,$11.09,$11.50,$12.40,$14.32,$16.05,$17.14
97154,DC,$14.00,$14.00,$14.00,$14.00,$14.47,$14.47,$14.47
97154,DE,$10.99,$10.99,$11.09,$11.50,$12.83,$12.83,$12.83
97154,FL,$10.86,$11.09,$11.26,$11.67,$12.05,$14.43,$15.22
97154,GA,$10.86,$10.86,$10.86,$11.50,$14.84,$16.12,$18.14
97154,HI,$11.09,$11.09,$11.09,$11.88,$11.88,$13.22,$13.22
97154,IA,$8.70,$8.70,$11.41,$11.87,$12.09,$12.75,$15.42
97154,ID,$7.65,$10.60,$10.60,$10.83,$11.94,$13.72,$14.61
97154,IL,$10.32,$10.92,$11.41,$11.50,$12.93,$15.25,$15.77
